step,input,v,v_th_eff,spike
691,1.3,1.24216,1.57894,0
692,1.3,1.24498,1.57702,0
693,1.3,1.24766,1.5751,0
694,1.3,1.25021,1.57318,0
695,1.3,1.25264,1.57128,0
696,1.3,1.25495,1.56938,0
697,1.3,1.25715,1.56748,0
698,1.3,1.25924,1.56559,0
699,1.3,1.26123,1.56371,0
700,1.3,1.26312,1.56183,0
701,1.3,1.26492,1.55996,0
702,1.3,1.26663,1.5581,0
703,1.3,1.26825,1.55624,0
704,1.3,1.2698,1.55439,0
705,1.3,1.27128,1.55255,0
706,1.3,1.27268,1.55071,0
707,1.3,1.27401,1.54888,0
708,1.3,1.27528,1.54705,0
709,1.3,1.27648,1.54523,0
710,1.3,1.27763,1.54341,0
711,1.3,1.27872,1.54161,0
712,1.3,1.27976,1.5398,0
713,1.3,1.28075,1.53801,0
714,1.3,1.28168,1.53622,0
715,1.3,1.28258,1.53443,0
716,1.3,1.28343,1.53265,0
717,1.3,1.28424,1.53088,0
718,1.3,1.285,1.52912,0
719,1.3,1.28574,1.52735,0
720,1.3,1.28643,1.5256,0
721,1.3,1.28709,1.52385,0
722,1.3,1.28772,1.52211,0
723,1.3,1.28832,1.52037,0
724,1.3,1.28889,1.51864,0
725,1.3,1.28943,1.51691,0
726,1.3,1.28995,1.51519,0
727,1.3,1.29044,1.51348,0
728,1.3,1.2909,1.51177,0
729,1.3,1.29135,1.51007,0
730,1.3,1.29177,1.50837,0
731,1.3,1.29217,1.50668,0
732,1.3,1.29255,1.50499,0
733,1.3,1.29292,1.50331,0
734,1.3,1.29326,1.50163,0
735,1.3,1.29359,1.49997,0
736,1.3,1.2939,1.4983,0
737,1.3,1.2942,1.49664,0
738,1.3,1.29448,1.49499,0
739,1.3,1.29475,1.49334,0
740,1.3,1.29501,1.4917,0
741,1.3,1.29525,1.49007,0
742,1.3,1.29548,1.48843,0
743,1.3,1.2957,1.48681,0
744,1.3,1.29591,1.48519,0
745,1.3,1.29611,1.48357,0
746,1.3,1.2963,1.48197,0
747,1.3,1.29648,1.48036,0
748,1.3,1.29665,1.47876,0
749,1.3,1.29682,1.47717,0
750,1.3,1.29697,1.47558,0
751,1.3,1.29712,1.474,0
752,1.3,1.29726,1.47242,0
753,1.3,1.29739,1.47085,0
754,1.3,1.29752,1.46928,0
755,1.3,1.29764,1.46772,0
756,1.3,1.29776,1.46616,0
757,1.3,1.29787,1.46461,0
758,1.3,1.29797,1.46307,0
759,1.3,1.29807,1.46153,0
760,1.3,1.29816,1.45999,0
761,1.3,1.29825,1.45846,0
762,1.3,1.29834,1.45693,0
763,1.3,1.29842,1.45541,0
764,1.3,1.2985,1.4539,0
765,1.3,1.29857,1.45239,0
766,1.3,1.29864,1.45088,0
767,1.3,1.29871,1.44938,0
768,1.3,1.29877,1.44789,0
769,1.3,1.29883,1.4464,0
770,1.3,1.29889,1.44491,0
771,1.3,1.29894,1.44343,0
772,1.3,1.29899,1.44195,0
773,1.3,1.29904,1.44048,0
774,1.3,1.29909,1.43902,0
775,1.3,1.29913,1.43756,0
776,1.3,1.29918,1.4361,0
777,1.3,1.29922,1.43465,0
778,1.3,1.29925,1.4332,0
